Category,Title,Price,Rating,Product Image,Link
Sink,"PLANETXERO 37x18"" Stainless Steel Kitchen Sink | Single Bowl with Draind Board Glossy Finish | Includes PVC Coupling & Waste Pipe | Anti-Rust","1,499.",2.9 out of 5 stars,https://m.media-amazon.com/images/I/41ReL7EK+OL._SY300_SX300_QL70_ML2_.jpg,https://amzn.to/48dZiIv
Sink,"Plantex Platinum Tabletop Wash Basin for bathroom/Countertop Ceramic Washbasin/10 Years Glaze Warranty by Plantex (White, 23.5 x 13.5 x 4.5 Inch)","2,999.",4.1 out of 5 stars,https://m.media-amazon.com/images/I/51ACamTXbYL._SY300_SX300_QL70_ML2_.jpg,https://amzn.to/4vQy84E
Sofa,"AMATA Marino 3 Seater Sofa Camel Suede Velvet Sofa Set with Two Cushions Perfect for Home Office Guests Living Room (01 Camel, 3 Seater)(3 Year Warranty)","16,489.",4.5 out of 5 stars,https://m.media-amazon.com/images/I/51fXK9xpzmL._SY300_SX300_QL70_ML2_.jpg,https://amzn.to/4vLVlVk
Sofa,"Wood 3 Seater Sofa Cum Bed | Soft Velvet Upholstery | Multi-Functional Convertible Couch for Living Room, Guest Room & Small Spaces - Brown Color","6,500.",5.0 out of 5 stars,https://m.media-amazon.com/images/I/41yrx4XTHHL._SY300_SX300_QL70_ML2_.jpg,https://amzn.to/494RaKC
Sofa,Milan 4 Seater Sofa | Luxury Comfort & Extra Spacious | Sofa | Sofa Set | Wooden Sofa Set for Living Room | Sofa for Living Room & Office (Chenille Molfino - Beige),"15,999.",3.9 out of 5 stars,https://m.media-amazon.com/images/I/412O7bXOSnL._SX300_SY300_QL70_ML2_.jpg,https://amzn.to/3QoQVUl
Sofa,Adorn India Premium Luster 3 Seater | Velvet Suede Fabric | 3-Year Warranty | Color Grey with Golden Legs & Striped Pattern Cushion,"16,489.",4.6 out of 5 stars,https://m.media-amazon.com/images/I/41MEaIbxROL._SX300_SY300_QL70_ML2_.jpg,https://amzn.to/4vI9fb4
Sofa,"AMATA Omega Solid Wood 4 Seater L Shape Grey Suede Velvet Fabric Sofa Set with Four Cushions Perfect for Home Office Guests Living Room (03 Grey, Omega L Shape 4 SSEATER)(3 Year Warranty)","19,999.",4.5 out of 5 stars,https://m.media-amazon.com/images/I/41DkomI3vjL._SY300_SX300_QL70_ML2_.jpg,https://amzn.to/4sUxyAb
Sofa,Adorn India Premium Luster 4 Seater L Shape Sofa Set | Velvet Suede Fabric | 3-Year Warranty | Color Beige with Golden Legs & Striped Pattern Cushion,"19,049.",4.6 out of 5 stars,https://m.media-amazon.com/images/I/51-khyTw1UL._SY300_SX300_QL70_ML2_.jpg,https://amzn.to/3QUB1RH
Sofa,"FURNY Carlo 4 Seater - L Shape Convertible Sofa Set for Living Room Furniture Sets 3 Piece Small Sofa, Modular Sectional Couch for Small Space, Upholstery-Velvet Fabric (Teal)","11,899.",3.4 out of 5 stars,https://m.media-amazon.com/images/I/51q+cFuO4RL._SY300_SX300_QL70_ML2_.jpg,https://amzn.to/4trrmAH
Sofa,FURNY Premium Joy 4 Seater Fabric L Shape Sofa Set - 3 Seater Modern Sofa Set with Ottoman for Living Room | with Velvet Fabric | 3- Year Warranty in Dark Grey Color,"13,749.",5.0 out of 5 stars,https://m.media-amazon.com/images/I/41J3JGE0zuL._SY300_SX300_QL70_ML2_.jpg,https://amzn.to/48hZI0B
